,SymbolsA,EntrezsA,AveExpr,B
202942_at,ETFB,2109,10.0521489740995,-0.0224175099970996
201743_at,CD14,929,9.73701509002461,-0.0344299929610878
218552_at,ECHDC2,55268,9.6943592038056,-0.0370433079400012
206155_at,ABCC2,1244,6.39067340436878,-0.0633561032264502
202074_s_at,OPTN,10133,10.0625523167378,-0.0672165282946677
209309_at,AZGP1,563,10.4114032422025,-0.0689960246519918
203909_at,SLC9A6,10479,8.68365957271569,-0.082811246343752
219825_at,CYP26B1,56603,6.31328806266396,-0.0840928475458211
213143_at,C2orf72,257407,8.03641312251348,-0.0924598708695017
205164_at,GCAT,23464,8.30763690972694,-0.124707590048971
208690_s_at,PDLIM1,9124,11.5806326100862,-0.143727664532613
205120_s_at,SGCB,6443,9.00670821854083,-0.14746973211212
221854_at,PKP1,5317,7.60556619962571,-0.152068670116161
221685_s_at,SPDL1,54908,8.08785349639389,-0.157013378181462
209790_s_at,CASP6,839,8.34388126895708,-0.165211459849243
213110_s_at,COL4A5,1287,8.18648624360284,-0.187151140897792
204822_at,TTK,7272,7.76482632828875,-0.199896431097622
213260_at,FOXC1,2296,8.64304098347366,-0.206760563814444
211623_s_at,FBL,2091,10.9716217182899,-0.219572975761901
210519_s_at,NQO1,1728,9.85006782376588,-0.229025782087958
214733_s_at,YIPF1,54432,9.49897218459977,-0.237843484104524
212638_s_at,WWP1,11059,9.37371148599187,-0.243648317945618
218304_s_at,OSBPL11,114885,7.85181451666597,-0.246490357124317
203638_s_at,FGFR2,2263,8.3319318158665,-0.251472616793358
205197_s_at,ATP7A,538,7.85394495354771,-0.255544166949782
210136_at,MBP,4155,8.34731828891191,-0.257288767281782
213617_s_at,TPGS2,25941,8.09195977276598,-0.271218256839427
213508_at,SPTSSA,171546,9.66596105447215,-0.2830803593037
205780_at,BIK,638,8.70452413918366,-0.290453374797968
203186_s_at,S100A4,6275,8.94214125466745,-0.315565442537026
214104_at,GPR161,23432,7.51808756059226,-0.328746591534409
202580_x_at,FOXM1,2305,8.61038788660163,-0.330547031513191
219036_at,CEP70,80321,7.95304862107807,-0.347110757574741
202557_at,HSPA13,6782,7.75907101739848,-0.347932938861419
218942_at,PIP4K2C,79837,9.91213532213144,-0.350244339656943
212202_s_at,TMEM87A,25963,9.8165278275628,-0.363422422923878
210719_s_at,HMG20B,10362,8.72637911390651,-0.377534994662411
206247_at,MICB,4277,8.93302255399598,-0.384277361402455
217833_at,SYNCRIP,10492,9.53404774651085,-0.39923939649606
221934_s_at,DALRD3,55152,8.5341205442201,-0.410779264977357
201197_at,AMD1,262,8.85403737587474,-0.428698687380512
222201_s_at,CASP8AP2,9994,7.75646944895205,-0.430974708772291
218755_at,KIF20A,10112,8.80833674593567,-0.435768498532727
215245_x_at,FMR1,2332,8.92974230748013,-0.44131190039528
204980_at,CLOCK,9575,8.80240451594526,-0.447763925019165
219288_at,C3orf14,57415,9.82104756224001,-0.457440215214419
213338_at,TMEM158,25907,9.40791480504687,-0.459829024966204
219543_at,PBLD,64081,6.44052882331104,-0.476154066601272
203453_at,SCNN1A,6337,8.96255299025017,-0.485700487235721
218665_at,FZD4,8322,9.01700230214378,-0.489325776933979
204285_s_at,PMAIP1,5366,6.88437319159962,-0.501549530620993
206656_s_at,APMAP,57136,12.1442624963956,-0.509415985518205
205160_at,PEX11A,8800,9.03812775707838,-0.521939259061821
201093_x_at,SDHA,6389,10.2756225918625,-0.525602814718215
219974_x_at,ECHDC1,55862,8.2506243110044,-0.529577102984882
218104_at,TEX10,54881,9.3642191169491,-0.532838921479208
218802_at,MCUB,55013,9.39985417119943,-0.537778940719922
200804_at,TMBIM6,7009,12.1385566173138,-0.54180393521296
208619_at,DDB1,1642,10.0758512061623,-0.542987933626986
204241_at,ACOX3,8310,8.1939637832317,-0.552940543815132
218025_s_at,ECI2,10455,9.25412555949861,-0.553316805773551
218928_s_at,SLC37A1,54020,7.52391038774601,-0.562251154316009
213346_at,TEX30,93081,8.46687665695794,-0.567649651914655
206714_at,ALOX15B,247,8.41427592330765,-0.581122368466863
218237_s_at,SLC38A1,81539,10.7040742231903,-0.599800884015905
220441_at,DNAJC22,79962,6.54193554103588,-0.603841230330592
210976_s_at,PFKM,5213,9.77036822555116,-0.617634440821059
204641_at,NEK2,4751,9.05272786779815,-0.627851453887132
201525_at,APOD,347,10.4516031354072,-0.630508519076381
201470_at,GSTO1,9446,11.5776925878895,-0.637375310284568
219104_at,RNF141,50862,8.12736650645429,-0.637603270708492
206482_at,PTK6,5753,6.63955219713624,-0.638734887449544
205681_at,BCL2A1,597,5.78230504117419,-0.640905319877014
212958_x_at,PAM,5066,10.6470091853617,-0.642641947200369
219387_at,CCDC88A,55704,6.19216444640292,-0.645258051073728
205567_at,CHST1,8534,7.25511153163696,-0.658733890862117
221122_at,HRASLS2,54979,7.51521717792821,-0.659822118072031
201564_s_at,FSCN1,6624,7.23597767200266,-0.662448779940694
201582_at,SEC23B,10483,9.35364063060331,-0.663815750905576
206102_at,GINS1,9837,9.03296879357396,-0.665622298670739
202743_at,PIK3R3,8503,9.87964908366492,-0.679521086471598
218082_s_at,UBP1,7342,9.89527748534314,-0.682898314790654
204146_at,RAD51AP1,10635,8.55106466440022,-0.683129192174011
213256_at,MARCH3,115123,7.79374938998162,-0.696174762916252
