,SymbolsA,EntrezsA,AveExpr,B
292,NA,292,12.4644173510799,-5.3062409562397
293,NA,293,11.4475094459517,-5.49394213877488
301,NA,301,11.0940476440502,-3.87267128124823
302,NA,302,13.0294890398587,-6.06834457996126
303,NA,303,6.18993826656821,-6.48567097201562
304,NA,304,10.6854439406987,-6.24820250333892
306,NA,306,8.33752355836523,-4.07917651180152
307,NA,307,10.158566405875,-5.97609592254585
308,NA,308,11.5215835085366,-6.51831947818049
310,NA,310,10.7940831686576,-5.56513542131121
311,NA,311,8.06162813863588,-6.37863698093847
313,NA,313,7.15227461485078,-5.91514117670407
316,NA,316,6.51723272992882,-5.71197961147264
318,NA,318,8.03066055796457,-5.21361909325391
321,NA,321,6.96922101456903,-2.67980025297562
323,NA,323,7.34425443049567,-3.87902461215515
327,NA,327,9.02322469788702,-3.41807684919308
329,NA,329,10.5597558749,-4.41380680491088
330,NA,330,5.65796686631984,-3.94028648301525
331,NA,331,5.91759371827151,-6.0296789075346
332,NA,332,9.11743548772992,-5.34340579955482
334,NA,334,9.52272828283305,-4.32468725931505
341,NA,341,10.42891159181,-6.23947667537637
347,NA,347,10.4516031354072,-0.630508519076381
348,NA,348,9.98453577034718,-5.99239168959653
351,NA,351,9.85142108208695,-5.31144308585557
353,NA,353,9.73927134254687,-6.27044669691167
355,NA,355,8.62738139187084,-5.36326119587569
357,NA,357,8.81963518304199,-5.74341092710148
358,NA,358,8.26369139310927,-6.08984071267096
360,NA,360,9.48510298299098,-6.31046513221618
366,NA,366,8.46004335553997,-1.90604761211154
367,NA,367,7.70802817236694,8.28163997181301
368,NA,368,6.33433556398923,-2.06856834543655
372,NA,372,10.6850465883405,-4.88423797685222
374,NA,374,6.3777161111699,-4.8082682361336
377,NA,377,11.0962324398439,-4.93260720141201
378,NA,378,9.85650543598265,-5.99533605543366
382,NA,382,9.85454193230754,-5.15991305801538
388,NA,388,8.68152840371969,-3.21634913403264
390,NA,390,10.0630055967775,-5.21124512434527
392,NA,392,11.1854122965074,-3.8910628584601
394,NA,394,6.88480934613046,-5.41268612983552
395,NA,395,5.70847305841306,-5.8315973591934
397,NA,397,10.9174573573627,-6.45630065194348
399,NA,399,8.7445206523332,-6.13854747438517
400,NA,400,9.83495406806963,-2.29901578109568
402,NA,402,8.41355722018478,-6.29724477798794
403,NA,403,9.38960887535031,-1.21723825703971
408,NA,408,9.6462939129441,-5.82824500939682
412,NA,412,7.30332673685603,-6.50917866240794
419,NA,419,5.55831853372194,-1.25068706137742
427,NA,427,10.3637587816434,-6.51390997415427
440,NA,440,9.12536137021361,-1.90450390802437
444,NA,444,10.0493344141232,1.95925824312166
445,NA,445,10.1798373355608,-5.94504009806991
466,NA,466,8.810335107677,-4.39535917070172
467,NA,467,8.27831167668791,4.00694789905953
468,NA,468,11.6891864661581,-6.48064926454491
471,NA,471,10.3944835353583,-3.84868077954376
472,NA,472,7.56155075313527,-5.75079066348738
473,NA,473,9.95341819574374,-5.55186730928598
475,NA,475,10.1913966048507,-5.12742374439122
476,NA,476,10.3450537284581,-6.05375324294544
481,NA,481,9.90774628935518,-6.0976590339993
483,NA,483,11.4923464463489,-4.24143587730352
488,NA,488,10.1208590400154,-6.42633688689194
489,NA,489,8.6953350122613,-5.09728852312778
490,NA,490,6.21678502789372,-6.29855345004833
493,NA,493,8.57087819219199,-3.56218849346663
501,NA,501,9.25551264134464,-5.77396348873507
509,NA,509,12.0335110792095,-6.08907955664626
514,NA,514,11.7764221762981,-6.51596306466543
515,NA,515,11.9788429933036,-4.82545805162112
517,NA,517,10.4099156977023,-6.28535106368534
518,NA,518,11.481172164419,-6.48389589907368
521,NA,521,10.8988886424697,-6.49692926924489
522,NA,522,11.152291333052,-5.80855870170697
526,NA,526,10.1054601282812,-2.70656103422591
528,NA,528,8.70459276763213,-6.19264413746154
529,NA,529,10.8148686382826,-6.19375725863132
533,NA,533,10.8559229415354,-4.84665744790372
537,NA,537,10.8492606786862,-4.94603074544685
538,NA,538,7.85394495354771,-0.255544166949782
539,NA,539,11.4832936891954,-5.64425416372005
540,NA,540,8.40189574313817,-6.26970906680862
545,NA,545,8.6880491438643,-4.33801752477418
547,NA,547,5.98784966087848,-4.28517621314654
549,NA,549,8.68217209523212,-6.51055835464224
550,NA,550,9.34712912218789,-5.43164576731878
558,NA,558,8.19479053961372,-6.43637108182326
563,NA,563,10.4114032422025,-0.0689960246519918
571,NA,571,7.52647595256443,-5.34146268899932
572,NA,572,7.88028080756591,-6.0568726164896
573,NA,573,9.72791175874203,-1.8284474184215
580,NA,580,8.24647400954356,-6.13727457148192
582,NA,582,8.34875741893353,-1.50973665564133
585,NA,585,7.66353162474691,-4.57212340166117
594,NA,594,6.8971386321289,-5.20751229121873
595,NA,595,9.69769732004122,-5.46094201510126
596,NA,596,8.18809326859651,-2.46737709009411
597,NA,597,5.78230504117419,-0.640905319877014
599,NA,599,8.71732344704509,-5.22013016378504
604,NA,604,9.59556395963565,-6.02410867245663
605,NA,605,8.18276956836906,-6.51577336449207
608,NA,608,6.11796438068683,-6.18103561610128
613,NA,613,7.24291940011018,-4.52383681902141
622,NA,622,7.60816331011485,-4.87198066883899
624,NA,624,7.38353562137485,-6.0919491309654
629,NA,629,9.26622860758012,-6.43493276766475
631,NA,631,6.81079387520371,-1.26258232693178
633,NA,633,9.38581218879252,-6.20125416001636
634,NA,634,8.25452241057959,-4.64619190437085
637,NA,637,8.52876756904138,-5.6368988025661
638,NA,638,8.70452413918366,-0.290453374797968
641,NA,641,8.16687908387358,-5.43846704530346
642,NA,642,8.78044301647591,-6.43198664812548
644,NA,644,10.5864305790655,-4.33482404606262
645,NA,645,10.0531398531027,-0.927616649893539
652,NA,652,8.26007616004456,-4.39851733654141
655,NA,655,6.97621611690906,-5.50959104280787
657,NA,657,8.24843256961378,-6.1692707031368
659,NA,659,7.06454396545017,-5.11474051241071
661,NA,661,7.69631974405429,-2.47219448236559
663,NA,663,7.90701115461731,1.98153327451581
664,NA,664,10.6435664667709,-5.53271588044389
665,NA,665,9.7005389767972,-6.36539492400857
667,NA,667,6.19404934999891,-6.09042418923411
672,NA,672,6.75803260691321,-6.50596544262339
677,NA,677,9.62954492333255,-6.16043645853334
678,NA,678,11.2877893041214,-5.97474686309134
682,NA,682,8.57666373217293,-2.53227836559646
684,NA,684,9.57782804591601,-6.09439729702479
687,NA,687,5.86327086855406,-6.37159929764728
688,NA,688,5.68397151548312,-3.21414669321322
689,NA,689,11.816694407939,-6.44664546322544
694,NA,694,9.36022704322944,-4.98534448426296
695,NA,695,7.78740613663893,-5.51128660843178
699,NA,699,7.60686308945557,0.180027816905306
701,NA,701,9.37406524157363,-1.69677529008033
705,NA,705,8.85611080587512,-5.32523633986967
706,NA,706,10.4567988993352,-6.50502251206195
708,NA,708,9.96457845049333,-3.15790194675783
710,NA,710,9.43237647005961,-4.95381230858307
712,NA,712,9.66932311405076,-3.7344324877575
713,NA,713,9.83433527345553,-4.16469611845523
715,NA,715,9.7499816319556,-3.96172818582748
716,NA,716,11.8147034817706,-4.52992170320154
717,NA,717,8.69348879357003,-6.09216926282817
718,NA,718,10.7482350539628,-6.35321710067342
719,NA,719,9.88994477800867,-3.0792554719611
725,NA,725,5.97379610985529,-6.23781501857031
727,NA,727,6.21036452208963,-6.40363341761338
728,NA,728,7.71963773558277,-3.99119906834545
730,NA,730,6.66060565531415,-6.46766338303149
734,NA,734,6.77977985275036,-6.51560904316436
738,NA,738,9.91056628175126,-5.95156436120773
740,NA,740,10.7318186093412,-1.95758156613722
753,NA,753,7.66486459244024,-4.6541905930065
757,NA,757,9.50154933016964,-6.33271291320636
760,NA,760,8.12402213636607,-6.05182693408204
767,NA,767,7.14110075956552,-6.30677696878123
768,NA,768,7.62359810529481,-5.71111909547199
771,NA,771,10.2375432129203,-5.45589910953048
773,NA,773,7.19029043625228,-6.51729734243573
776,NA,776,5.96833603113734,-5.92730095335335
784,NA,784,8.7072062415055,-6.49932575976946
790,NA,790,8.34094225251459,-6.02998455685335
794,NA,794,6.91450937205019,-4.76318158847349
800,NA,800,7.56238671055669,-6.09197151287726
811,NA,811,8.42455230879149,-6.41399381122335
813,NA,813,10.1147755334718,-6.48905695634996
816,NA,816,5.61634712118532,-6.23836828444061
821,NA,821,9.39912905961459,-6.4718275032556
822,NA,822,9.41248711104627,-4.61203527587399
824,NA,824,11.661188410905,-5.97860896160454
825,NA,825,7.39536345768447,-6.51587041297441
826,NA,826,10.5097294431611,-4.85681730813501
829,NA,829,10.9497983869536,-4.48829094566619
830,NA,830,8.5131383859918,-4.34960155925341
831,NA,831,9.95892350974725,-6.2323005206287
832,NA,832,9.59754565377937,-6.51699264685125
833,NA,833,11.1453141852987,-5.52867066887689
834,NA,834,6.95059291585289,-1.52034022614556
835,NA,835,6.65927083754574,-6.3377821806783
837,NA,837,7.65633317489223,-6.00345839701526
839,NA,839,8.34388126895708,-0.165211459849243
840,NA,840,8.94277518984775,-3.95588143214112
841,NA,841,8.78539596290931,-5.95784366929403
847,NA,847,8.25526621476325,-5.58200063568808
857,NA,857,9.48353915986754,-2.48168829342788
858,NA,858,6.08432195174834,1.2195628489962
862,NA,862,6.94577246152938,-4.38761302230786
863,NA,863,7.19105555047735,-5.28009682618729
864,NA,864,6.82538621114491,-3.2123143641505
865,NA,865,10.9848821853685,-5.31629594955878
868,NA,868,8.35732328810738,-6.49794987164263
873,NA,873,7.48991596483422,-0.818608902091425
874,NA,874,9.1447479359199,-5.40924715469137
875,NA,875,7.47845253689672,-5.34357527358579
889,NA,889,6.551699723163,-6.21458804632304
890,NA,890,7.54583454005363,-5.16845159502652
891,NA,891,9.23696391718572,-4.56299107711297
892,NA,892,10.2300391972868,-6.05773096153243
894,NA,894,9.29000147201117,-6.32687590307251
896,NA,896,9.2706826013905,-6.23470468229711
898,NA,898,8.41837250250922,-2.69638156578425
900,NA,900,10.0079362551667,-5.97971244753162
901,NA,901,9.99725269345371,-6.45821073756399
902,NA,902,9.35870517706731,-6.47872507147585
905,NA,905,6.81066460932839,-5.25707449931022
908,NA,908,10.225141013369,-5.52183378563242
914,NA,914,9.46988526474084,-5.66091326519227
915,NA,915,8.93362662180566,-5.89271879819426
917,NA,917,7.0904399553342,-6.04337825102208
919,NA,919,7.81595230424173,-6.17728965006936
925,NA,925,8.59793283067004,-6.12165326369863
926,NA,926,7.58526778507958,-4.24209037869172
928,NA,928,12.003418839054,-4.8325422441668
929,NA,929,9.73701509002461,-0.0344299929610878
931,NA,931,7.1650468135242,-5.41460825979157
939,NA,939,7.61622917849339,-6.13757342164164
942,NA,942,7.85389108681158,-2.37936935792793
948,NA,948,7.69549944218962,-5.26394143757334
949,NA,949,8.08061500867254,-2.91760557666845
950,NA,950,8.68972041507597,-4.10351035016741
951,NA,951,6.05855094958266,-5.25578184545229
952,NA,952,8.23793556119069,-5.58308279566235
953,NA,953,9.17175990484405,-5.82348048150809
955,NA,955,9.73597226879994,-6.33909839720735
956,NA,956,7.97977306472777,-5.33830869669424
960,NA,960,8.63590700307068,-6.40046784314241
961,NA,961,10.8880093007705,-3.12676339442606
962,NA,962,9.43932547398614,-4.20255018530474
963,NA,963,10.8766710500999,-4.11561139534701
965,NA,965,8.45084760698824,-2.13195904904731
966,NA,966,9.93763783629741,-6.51304856604489
969,NA,969,6.41063282287381,-4.4390089178314
972,NA,972,11.2642861028262,-4.90779604869105
976,NA,976,7.87784920420893,-6.36151876676894
977,NA,977,9.14143670259095,-1.35045454386813
983,NA,983,10.3749826367519,-5.38419284433732
987,NA,987,9.41059613507881,-2.69472983196854
988,NA,988,10.1865832979555,-5.65531477609389
989,NA,989,11.6242793586876,-6.47532931416544
990,NA,990,5.95298445537371,-6.16881655934493
991,NA,991,8.63562760849896,-2.21712683634245
993,NA,993,8.41501246492275,-5.33747671299464
996,NA,996,8.36223409014323,-2.17818512845354
997,NA,997,8.45751670881368,-4.0293044904425
998,NA,998,10.1502431500807,-6.50805369775104
999,NA,999,11.5897715914537,0.927787259107467
1001,NA,1001,9.1768431815309,-6.39270352833362
1003,NA,1003,6.41508684568777,-5.49764875130967
1009,NA,1009,9.57364107770052,-6.51428554147905
1017,NA,1017,8.36748630542261,-5.9153729299302
1020,NA,1020,8.47377930873386,-6.42424388672607
1022,NA,1022,8.97143895180193,-5.69161742868273
1024,NA,1024,7.40376673227834,-5.84704487727976
1026,NA,1026,9.84292136633794,-6.16747074690501
1027,NA,1027,9.79793596590019,-4.03383551157911
1028,NA,1028,8.24392000572243,-6.47029207468721
1029,NA,1029,7.34381046836941,6.5276170033484
1031,NA,1031,7.66787806672069,-4.14918803112447
1033,NA,1033,8.38521638357876,-6.399457406768
1036,NA,1036,6.47758240282657,-6.48625062786828
1040,NA,1040,8.01266283925118,-3.4289673043172
1043,NA,1043,7.68346245584584,-4.43473177301338
1047,NA,1047,5.80756109501815,-2.40657162397187
1048,NA,1048,8.45909923673751,-5.38223844766167
1051,NA,1051,10.8357922685148,-3.10375382974731
1052,NA,1052,9.60452310337786,-6.16280404870936
1054,NA,1054,7.8203483197483,-2.29581320456393
1059,NA,1059,6.7999145194265,-5.29955287524189
1062,NA,1062,7.56768419239741,-6.43271755658214
1063,NA,1063,9.20480394382919,-1.35169330474212
1066,NA,1066,8.12148934435725,0.733794238992179
1069,NA,1069,10.7442179857951,-6.11240657872326
1070,NA,1070,8.71199108193188,-6.238090421021
1075,NA,1075,11.3769582439081,-5.3880038274669
1087,NA,1087,6.92052515820888,-3.44235047625039
1101,NA,1101,6.84056131302049,-4.6571849553419
1102,NA,1102,8.36770088515749,-3.66581221658856
1105,NA,1105,7.68085888955637,-6.06473356587578
1108,NA,1108,9.31634448285891,-6.50639973874326
1111,NA,1111,7.12129452308401,-5.67864318397629
1112,NA,1112,7.23721357060178,-6.51652381193749
1116,NA,1116,8.91392720105206,0.588440878741482
1117,NA,1117,7.81290018437224,-3.96777772435274
1118,NA,1118,7.44851851188308,-6.44511796948011
1123,NA,1123,9.69718277482041,-6.21032303937212
1124,NA,1124,6.56390174108848,-6.49581465194244
1130,NA,1130,7.96726679941173,-6.04090383537086
1152,NA,1152,8.20245377571247,-4.76500464090844
1153,NA,1153,11.2165533309009,-4.02621393009058
1155,NA,1155,10.1576837579516,-3.69470199149833
1163,NA,1163,10.8151912468733,-4.82958250832509
1164,NA,1164,10.8390258902651,-2.96817815025642
1175,NA,1175,9.07565725160169,-5.75354466063572
1176,NA,1176,11.2805655795322,-6.51730052296837
1182,NA,1182,10.3978886026626,-3.25236403725673
1191,NA,1191,9.64708837758413,-2.54142554079027
1192,NA,1192,11.1732567334543,-6.41045616566657
1193,NA,1193,7.10654306046573,-5.6872542357817
1195,NA,1195,7.51071659513353,-5.22113981998735
1200,NA,1200,10.2648913604482,-6.51364107837201
1201,NA,1201,9.325699169704,1.25920507342678
1203,NA,1203,7.22180937799642,-6.51597084621188
1207,NA,1207,11.0017984190961,-4.72969980503531
1211,NA,1211,11.4110177078452,-3.14267048669814
1212,NA,1212,8.91442370712338,-6.41146787377782
1213,NA,1213,12.5875809562473,-3.73832827303963
1230,NA,1230,9.22105463276192,-1.73316278618119
